rpm	power	torque
1000	12.56	57.71
1100	14.33	59.83
1200	16.21	62.02
1300	18.09	63.89
1400	19.85	65.13
1500	21.84	66.87
1600	24.05	69.03
1700	26.37	71.23
1800	28.46	72.62
1900	30.67	74.14
2000	32.99	75.75
2100	35.21	77.01
2200	37.62	78.54
2300	39.94	79.76
2400	42.37	81.08
2500	44.69	82.10
2600	47.56	84.01
2700	50.21	85.40
2800	52.96	86.87
2900	55.72	88.25
3000	58.30	89.24
3100	61.13	90.57
3200	63.82	91.59
3300	66.54	92.60
3400	69.19	93.46
3500	71.95	94.41
3600	74.81	95.44
3700	77.68	96.43
3800	80.49	97.28
3900	83.36	98.17
4000	86.18	98.95
4100	88.51	99.15
4200	90.98	99.49
4300	93.24	99.59
4400	95.67	99.86
4500	97.98	100.00
4600	98.31	98.16
4700	98.64	96.39
4800	98.97	94.70
4900	99.30	93.08
5000	99.64	91.52
5100	99.64	89.72
5200	99.82	88.16
5300	99.86	86.53
5400	99.97	85.02
5500	100.00	83.50
5600	99.64	81.71
5700	99.19	79.92
5800	98.78	78.22
5900	98.31	76.53
6000	98.01	75.02
6100	98.09	73.85
6200	98.18	72.73
6300	98.31	71.67
6400	98.31	70.55
6500	98.41	69.53
6600	98.31	68.41
6700	98.00	67.17
6800	97.87	66.10
6900	97.65	65.00
7000	97.43	63.92
7100	96.55	62.45
7200	95.67	61.02
7300	94.57	59.50
7400	93.68	58.14
7500	92.58	56.69
