rpm	power	torque
1500	15.20	80.55
1600	16.20	80.49
1700	17.40	81.38
1800	18.64	82.34
1900	19.82	82.95
2000	20.90	83.06
2100	22.25	84.22
2200	23.53	85.03
2300	24.75	85.56
2400	25.97	86.04
2500	27.25	86.67
2600	28.64	87.56
2700	29.91	88.06
2800	31.18	88.53
2900	32.52	89.16
3000	33.74	89.42
3100	34.97	89.67
3200	36.12	89.74
3300	37.22	89.68
3400	38.41	89.81
3500	39.42	89.54
3600	40.53	89.50
3700	41.42	88.99
3800	42.46	88.84
3900	43.42	88.51
4000	44.46	88.36
4100	45.64	88.50
4200	46.70	88.39
4300	47.86	88.49
4400	49.09	88.69
4500	50.15	88.61
4600	51.53	89.06
4700	52.75	89.23
4800	54.08	89.57
4900	55.42	89.91
5000	56.73	90.21
5100	58.08	90.54
5200	59.52	91.00
5300	60.96	91.45
5400	62.37	91.82
5500	63.74	92.13
5600	65.07	92.38
5700	66.41	92.62
5800	67.73	92.84
5900	69.16	93.19
6000	70.44	93.33
6100	72.06	93.91
6200	73.64	94.43
6300	75.27	94.99
6400	76.83	95.43
6500	78.52	96.04
6600	80.15	96.54
6700	81.81	97.08
6800	83.47	97.59
6900	85.25	98.22
7000	86.89	98.69
7100	88.26	98.83
7200	90.04	99.42
7300	91.35	99.48
7400	92.79	99.68
7500	94.34	100.00
7600	95.45	99.85
7700	96.48	99.61
7800	97.63	99.50
7900	98.79	99.41
8000	99.90	99.27
8100	100.00	98.15
8200	99.78	96.74
8300	99.56	95.36
8400	99.56	94.23
8500	99.45	93.01
8600	96.89	89.57
8700	94.04	85.94
8800	91.22	82.41
8900	88.40	78.96
9000	85.46	75.49
