rpm	power	torque
1200	10.13	43.54
1300	11.67	46.31
1400	13.24	48.76
1500	14.98	51.49
1600	16.78	54.09
1700	19.22	58.29
1800	21.54	61.71
1900	23.86	64.77
2000	26.34	67.92
2100	29.39	72.18
2200	32.49	76.15
2300	35.58	79.78
2400	38.58	82.90
2500	41.80	86.22
2600	45.05	89.35
2700	48.20	92.07
2800	51.38	94.64
2900	54.04	96.09
3000	56.69	97.45
3100	59.45	98.90
3200	62.00	99.91
3300	63.99	100.00
3400	65.87	99.91
3500	67.80	99.90
3600	69.73	99.89
3700	71.74	99.99
3800	73.63	99.92
3900	75.51	99.85
4000	77.50	99.92
4100	79.39	99.86
4200	81.44	99.99
4300	83.37	99.99
4400	85.19	99.85
4500	86.78	99.46
4600	88.21	98.89
4700	89.69	98.41
4800	91.16	97.94
4900	92.07	96.90
5000	92.95	95.87
5100	93.83	94.88
5200	94.82	94.03
5300	95.48	92.91
5400	96.26	91.92
5500	96.92	90.87
5600	97.58	89.86
5700	98.24	88.88
5800	98.70	87.76
5900	99.31	86.81
6000	99.89	85.86
6100	100.00	84.54
6200	100.00	83.18
6300	100.00	81.86
6400	99.89	80.49
6500	98.22	77.93
6600	96.34	75.28
6700	94.57	72.79
6800	92.69	70.29
6900	92.29	68.98
7000	92.07	67.83
7100	91.85	66.71
7200	91.63	65.63
7300	91.19	64.42
7400	90.97	63.40
