rpm	power	torque
1000	11.25	61.98
1100	13.44	67.32
1200	15.63	71.77
1300	17.62	74.70
1400	19.90	78.33
1500	22.10	81.16
1600	24.57	84.62
1700	26.97	87.41
1800	29.44	90.11
1900	31.96	92.69
2000	34.38	94.69
2100	36.57	95.93
2200	38.74	97.01
2300	41.06	98.35
2400	43.25	99.29
2500	45.33	99.90
2600	47.19	100.00
2700	48.94	99.87
2800	50.74	99.83
2900	52.58	99.89
3000	54.30	99.72
3100	56.16	99.81
3200	58.01	99.89
3300	59.77	99.79
3400	61.63	99.87
3500	63.35	99.72
3600	64.88	99.30
3700	66.31	98.74
3800	67.85	98.37
3900	69.27	97.86
4000	70.70	97.38
4100	71.91	96.63
4200	73.24	96.07
4300	74.56	95.53
4400	75.82	94.94
4500	77.10	94.39
4600	78.53	94.06
4700	80.02	93.80
4800	81.62	93.68
4900	83.05	93.38
5000	84.60	93.22
5100	86.25	93.18
5200	87.79	93.02
5300	89.35	92.88
5400	90.90	92.74
5500	92.54	92.70
5600	94.07	92.55
5700	95.50	92.31
5800	97.04	92.18
5900	98.54	92.02
6000	100.00	91.83
6100	99.93	90.25
6200	99.54	88.45
6300	99.21	86.76
6400	99.00	85.23
6500	98.57	83.55
6600	97.72	81.57
6700	96.79	79.60
6800	95.74	77.57
6900	94.85	75.73
7000	93.90	73.90
