rpm	power	torque
1000	13.00	75.62
1100	14.79	78.23
1200	16.36	79.33
1300	18.15	81.25
1400	19.72	81.98
1500	21.40	83.04
1600	23.11	84.04
1700	24.89	85.20
1800	26.67	86.22
1900	28.44	87.10
2000	30.14	87.70
2100	32.05	88.80
2200	33.84	89.50
2300	35.63	90.14
2400	37.43	90.76
2500	39.21	91.28
2600	41.10	91.98
2700	43.02	92.71
2800	44.81	93.13
2900	46.65	93.60
3000	48.50	94.08
3100	50.41	94.62
3200	52.42	95.32
3300	54.20	95.57
3400	56.09	95.99
3500	57.97	96.38
3600	59.97	96.93
3700	61.86	97.28
3800	63.83	97.75
3900	65.74	98.09
4000	67.63	98.38
4100	69.43	98.54
4200	71.37	98.87
4300	73.23	99.10
4400	75.07	99.28
4500	76.93	99.47
4600	78.73	99.59
4700	80.62	99.81
4800	82.49	100.00
4900	83.95	99.70
5000	85.34	99.31
5100	86.91	99.16
5200	88.22	98.72
5300	89.83	98.63
5400	91.30	98.38
5500	92.84	98.23
5600	93.61	97.27
5700	94.58	96.55
5800	95.54	95.85
5900	96.40	95.07
6000	97.44	94.50
6100	97.80	93.29
6200	98.24	92.20
6300	98.68	91.14
6400	99.12	90.12
6500	99.56	89.13
6600	100.00	88.17
6700	98.16	85.25
6800	96.16	82.29
6900	93.83	79.13
