rpm	power	torque
1000	11.13	63.34
1100	13.43	69.48
1200	15.62	74.08
1300	17.91	78.45
1400	20.21	82.19
1500	22.40	85.02
1600	24.59	87.49
1700	26.56	88.94
1800	28.75	90.92
1900	30.72	92.03
2000	32.79	93.34
2100	34.81	94.38
2200	36.80	95.22
2300	38.69	95.75
2400	40.66	96.45
2500	42.64	97.09
2600	44.61	97.66
2700	46.57	98.20
2800	48.43	98.47
2900	50.40	98.94
3000	52.37	99.37
3100	54.20	99.54
3200	56.09	99.77
3300	57.89	99.87
3400	59.69	99.94
3500	61.44	99.93
3600	63.24	100.00
3700	64.83	99.74
3800	66.54	99.69
3900	68.10	99.40
4000	69.74	99.25
4100	71.17	98.82
4200	72.68	98.52
4300	74.04	98.01
4400	75.55	97.74
4500	77.01	97.42
4600	78.35	96.97
4700	79.66	96.49
4800	80.97	96.03
4900	82.41	95.74
5000	83.66	95.25
5100	85.06	94.94
5200	86.38	94.56
5300	87.70	94.19
5400	89.02	93.84
5500	90.34	93.51
5600	91.65	93.17
5700	92.96	92.84
5800	94.09	92.35
5900	95.41	92.06
6000	96.77	91.81
6100	97.35	90.85
6200	98.00	89.98
6300	98.66	89.15
6400	99.31	88.33
6500	100.00	87.58
6600	97.66	84.24
6700	95.03	80.75
6800	92.41	77.36
6900	89.78	74.07
7000	87.15	70.87
