rpm	power	torque
1000	7.81	56.45
1100	8.80	57.79
1200	9.67	58.24
1300	10.65	59.23
1400	11.64	60.09
1500	12.60	60.69
1600	13.83	62.46
1700	14.92	63.44
1800	16.13	64.76
1900	17.33	65.93
2000	18.48	66.79
2100	19.96	68.70
2200	21.32	70.04
2300	22.81	71.68
2400	24.24	72.98
2500	25.69	74.26
2600	27.22	75.66
2700	28.75	76.95
2800	30.28	78.15
2900	31.80	79.26
3000	33.33	80.30
3100	34.86	81.28
3200	36.40	82.22
3300	37.94	83.09
3400	39.58	84.14
3500	41.12	84.90
3600	43.17	86.66
3700	44.92	87.74
3800	46.89	89.18
3900	48.86	90.54
4000	50.77	91.73
4100	52.63	92.78
4200	54.54	93.86
4300	56.51	94.98
4400	58.26	95.70
4500	60.20	96.69
4600	61.94	97.31
4700	63.51	97.66
4800	65.26	98.26
4900	67.01	98.83
5000	68.65	99.23
5100	70.07	99.30
5200	71.60	99.51
5300	73.12	99.72
5400	74.65	99.92
5500	76.10	100.00
5600	77.30	99.77
5700	78.62	99.69
5800	79.89	99.55
5900	81.20	99.47
6000	82.45	99.32
6100	83.55	98.99
6200	84.64	98.67
6300	85.74	98.36
6400	86.83	98.06
6500	88.17	98.04
6600	88.91	97.36
6700	89.90	96.97
6800	90.88	96.59
6900	91.86	96.22
7000	92.96	95.98
7100	93.72	95.40
7200	94.60	94.96
7300	95.47	94.52
7400	96.35	94.10
7500	97.30	93.77
7600	97.88	93.08
7700	98.35	92.31
7800	98.97	91.70
7900	99.45	90.98
8000	100.00	90.34
8100	99.78	89.03
8200	99.41	87.61
8300	99.01	86.21
8400	98.57	84.81
8500	98.13	83.44
8600	96.88	81.41
8700	95.35	79.21
8800	93.72	76.97
8900	92.08	74.77
9000	90.76	72.88
