rpm	power	torque
1000	7.53	32.01
1100	9.13	35.31
1200	10.76	38.15
1300	12.31	40.28
1400	13.96	42.40
1500	15.68	44.44
1600	17.86	47.48
1700	20.05	50.16
1800	22.24	52.55
1900	24.43	54.68
2000	26.76	56.91
2100	29.93	60.62
2200	33.19	64.17
2300	36.39	67.28
2400	39.56	70.10
2500	42.84	72.88
2600	47.11	77.06
2700	51.17	80.60
2800	55.24	83.91
2900	59.35	87.04
3000	63.36	89.83
3100	66.94	91.83
3200	70.44	93.62
3300	73.94	95.29
3400	77.44	96.87
3500	80.91	98.32
3600	83.65	98.82
3700	86.28	99.17
3800	88.82	99.41
3900	91.53	99.82
4000	94.05	100.00
4100	95.26	98.81
4200	96.46	97.68
4300	97.58	96.51
4400	98.76	95.46
4500	99.89	94.41
4600	100.00	92.45
4700	100.00	90.49
4800	100.00	88.60
4900	100.00	86.79
5000	99.89	84.96
5100	99.78	83.21
5200	99.67	81.52
5300	99.56	79.89
5400	99.34	78.24
5500	99.23	76.73
5600	98.47	74.78
5700	97.80	72.97
5800	97.05	71.16
5900	96.26	69.38
6000	95.52	67.71
6100	94.54	65.91
6200	93.55	64.17
6300	92.57	62.49
6400	91.59	60.86
6500	90.49	59.21
6600	89.43	57.63
6700	88.33	56.07
6800	87.22	54.55
6900	86.12	53.08
7000	85.02	51.66
