rpm	power	torque
1000	4.65	42.50
1100	5.53	45.95
1200	6.16	46.91
1300	6.82	47.95
1400	7.54	49.23
1500	8.15	49.70
1600	8.93	51.03
1700	9.70	52.20
1800	10.48	53.24
1900	11.26	54.18
2000	11.92	54.50
2100	12.81	55.78
2200	13.57	56.39
2300	14.34	57.02
2400	15.14	57.68
2500	15.91	58.21
2600	16.94	59.58
2700	17.84	60.42
2800	18.74	61.22
2900	19.60	61.80
3000	20.55	62.63
3100	21.58	63.64
3200	22.36	63.90
3300	23.37	64.77
3400	24.37	65.55
3500	25.28	66.05
3600	26.46	67.21
3700	27.64	68.31
3800	28.77	69.23
3900	29.90	70.10
4000	31.07	71.04
4100	32.51	72.50
4200	34.03	74.08
4300	35.54	75.57
4400	36.94	76.77
4500	38.35	77.92
4600	40.13	79.77
4700	41.87	81.46
4800	43.44	82.75
4900	45.16	84.28
5000	46.75	85.50
5100	48.41	86.79
5200	49.81	87.59
5300	51.24	88.40
5400	52.87	89.53
5500	54.15	90.03
5600	55.55	90.71
5700	57.04	91.50
5800	58.36	92.01
5900	59.64	92.43
6000	60.99	92.95
6100	62.45	93.61
6200	63.90	94.24
6300	65.29	94.77
6400	66.79	95.42
6500	68.20	95.95
6600	69.85	96.77
6700	71.63	97.76
6800	73.28	98.55
6900	75.03	99.44
7000	76.55	100.00
7100	77.64	99.99
7200	78.58	99.80
7300	79.65	99.77
7400	80.58	99.57
7500	81.76	99.68
7600	82.63	99.42
7700	83.42	99.06
7800	84.30	98.82
7900	85.27	98.70
8000	86.21	98.54
8100	86.72	97.90
8200	87.24	97.28
8300	87.94	96.88
8400	88.44	96.28
8500	89.03	95.78
8600	89.45	95.11
8700	89.95	94.54
8800	90.45	93.99
8900	90.95	93.45
9000	91.46	92.92
9100	91.96	92.41
9200	92.46	91.90
9300	93.06	91.51
9400	93.59	91.05
9500	94.10	90.57
9600	94.72	90.23
9700	95.48	90.01
9800	96.23	89.79
9900	96.85	89.46
10000	97.49	89.15
10100	98.00	88.73
10200	98.49	88.30
10300	98.99	87.89
10400	99.50	87.48
10500	100.00	87.09
10600	98.98	85.39
10700	97.74	83.53
10800	96.42	81.64
10900	95.02	79.71
11000	93.86	78.02
11100	91.79	75.62
