rpm	power	torque
1100	8.11	61.27
1200	9.24	63.95
1300	10.22	65.33
1400	11.19	66.40
1500	12.05	66.76
1600	13.04	67.70
1700	14.02	68.54
1800	15.01	69.28
1900	15.99	69.94
2000	16.98	70.54
2100	17.90	70.83
2200	18.81	71.04
2300	19.86	71.74
2400	20.78	71.94
2500	21.77	72.34
2600	22.75	72.70
2700	23.74	73.04
2800	24.72	73.36
2900	25.71	73.65
3000	26.83	74.31
3100	28.10	75.30
3200	29.35	76.22
3300	30.49	76.76
3400	31.75	77.59
3500	32.88	78.05
3600	34.14	78.80
3700	35.27	79.19
3800	36.53	79.88
3900	37.66	80.23
4000	38.92	80.85
4100	40.14	81.34
4200	41.17	81.45
4300	42.16	81.46
4400	43.28	81.73
4500	44.27	81.73
4600	45.39	81.99
4700	46.47	82.14
4800	47.65	82.47
4900	48.91	82.93
5000	50.18	83.37
5100	51.44	83.80
5200	52.71	84.21
5300	53.97	84.60
5400	55.79	85.83
5500	57.48	86.82
5600	59.16	87.78
5700	60.85	88.69
5800	62.53	89.58
5900	64.20	90.40
6000	65.62	90.87
6100	67.03	91.29
6200	68.43	91.70
6300	69.88	92.16
6400	71.30	92.55
6500	72.71	92.93
6600	74.61	93.92
6700	76.37	94.70
6800	78.12	95.45
6900	80.03	96.36
7000	81.77	97.05
7100	83.69	97.93
7200	85.98	99.21
7300	87.52	99.61
7400	89.07	100.00
7500	89.93	99.62
7600	90.90	99.37
7700	91.88	99.14
7800	92.59	98.62
7900	93.29	98.12
8000	94.00	97.62
8100	94.83	97.26
8200	95.55	96.81
8300	96.36	96.46
8400	96.82	95.77
8500	97.39	95.19
8600	97.95	94.63
8700	98.52	94.08
8800	99.09	93.55
8900	99.72	93.09
9000	99.50	91.86
9100	99.66	90.99
9200	100.00	90.31
9300	99.48	88.88
9400	99.16	87.64
9500	99.64	87.14
9600	98.49	85.24
9700	97.22	83.27
9800	95.96	81.35
9900	94.70	79.47
10000	93.57	77.74
