rpm	power	torque
2000	20.50	81.59
2100	21.59	81.84
2200	22.90	82.86
2300	24.21	83.79
2400	25.52	84.64
2500	26.64	84.83
2600	27.92	85.48
2700	29.01	85.53
2800	30.32	86.20
2900	31.52	86.52
3000	32.72	86.82
3100	33.81	86.82
3200	34.90	86.82
3300	36.15	87.20
3400	37.25	87.21
3500	38.26	87.02
3600	39.46	87.24
3700	40.45	87.03
3800	41.44	86.81
3900	42.54	86.83
4000	43.53	86.63
4100	44.75	86.87
4200	45.85	86.90
4300	46.95	86.91
4400	48.20	87.20
4500	49.27	87.15
4600	50.48	87.35
4700	51.58	87.36
4800	52.78	87.53
4900	54.00	87.73
5000	55.07	87.67
5100	56.82	88.69
5200	58.46	89.49
5300	60.08	90.24
5400	61.74	91.02
5500	63.38	91.74
5600	65.14	92.59
5700	66.78	93.25
5800	68.53	94.05
5900	70.19	94.69
6000	71.92	95.42
6100	73.45	95.85
6200	74.91	96.17
6300	76.40	96.53
6400	77.87	96.85
6500	79.35	97.18
6600	80.77	97.42
6700	82.30	97.78
6800	83.76	98.05
6900	85.15	98.23
7000	86.65	98.54
7100	88.04	98.71
7200	89.76	99.24
7300	91.15	99.39
7400	92.69	99.70
7500	94.22	100.00
7600	95.32	99.84
7700	96.51	99.77
7800	97.65	99.65
7900	98.83	99.58
8000	100.00	99.50
8100	99.90	98.17
8200	99.63	96.72
8300	99.63	95.55
8400	99.41	94.21
8500	99.08	92.79
8600	98.31	91.00
8700	97.21	88.94
8800	96.33	87.13
8900	95.32	85.25
9000	94.33	83.43
9100	92.68	81.07
9200	90.60	78.39
