rpm	power	torque
1000	11.24	67.07
1100	14.09	76.44
1200	16.94	84.24
1300	19.68	90.34
1400	22.53	96.03
1500	25.05	99.66
1600	26.79	99.95
1700	28.48	100.00
1800	30.07	99.70
1900	31.82	99.95
2000	33.42	99.73
2100	35.09	99.74
2200	36.80	99.83
2300	38.46	99.82
2400	40.11	99.75
2500	41.76	99.69
2600	43.41	99.64
2700	45.14	99.79
2800	46.80	99.76
2900	48.45	99.71
3000	50.09	99.66
3100	51.85	99.82
3200	53.44	99.67
3300	55.19	99.82
3400	56.85	99.79
3500	58.54	99.82
3600	60.21	99.83
3700	61.92	99.88
3800	63.49	99.72
3900	65.23	99.82
4000	66.87	99.78
4100	68.53	99.76
4200	70.26	99.84
4300	71.83	99.70
4400	73.57	99.79
4500	75.25	99.80
4600	76.64	99.43
4700	78.12	99.20
4800	79.54	98.91
4900	80.95	98.61
5000	82.45	98.41
5100	83.79	98.06
5200	85.27	97.87
5300	86.71	97.64
5400	88.15	97.43
5500	89.57	97.20
5600	90.99	96.97
5700	92.31	96.66
5800	93.65	96.37
5900	94.97	96.07
6000	96.40	95.89
6100	97.17	95.08
6200	97.83	94.18
6300	98.55	93.36
6400	99.27	92.57
6500	100.00	91.82
6600	97.66	88.32
6700	95.15	84.76
6800	92.52	81.20
6900	89.89	77.75
7000	87.37	74.49
