rpm	power	torque
1000	10.14	69.65
1100	11.95	74.65
1200	13.66	78.23
1300	15.28	80.77
1400	16.95	83.19
1500	18.64	85.37
1600	20.36	87.41
1700	22.17	89.60
1800	23.89	91.20
1900	25.69	92.89
2000	27.39	94.09
2100	28.99	94.82
2200	30.50	95.23
2300	31.96	95.46
2400	33.50	95.90
2500	34.92	95.95
2600	36.15	95.51
2700	37.47	95.33
2800	38.79	95.17
2900	39.97	94.68
3000	41.22	94.38
3100	41.85	92.75
3200	42.43	91.09
3300	43.12	89.76
3400	43.80	88.51
3500	44.49	87.33
3600	45.62	87.06
3700	46.76	86.83
3800	47.92	86.62
3900	49.07	86.43
4000	50.24	86.28
4100	52.81	88.48
4200	55.17	90.24
4300	57.59	92.02
4400	60.01	93.69
4500	62.37	95.22
4600	64.08	95.70
4700	65.78	96.15
4800	67.37	96.43
4900	68.98	96.71
5000	70.64	97.06
5100	72.33	97.44
5200	73.90	97.63
5300	75.56	97.94
5400	77.15	98.15
5500	78.79	98.42
5600	80.34	98.56
5700	81.85	98.65
5800	83.42	98.81
5900	84.99	98.96
6000	86.51	99.05
6100	88.01	99.12
6200	89.87	99.58
6300	91.37	99.63
6400	93.01	99.84
6500	94.62	100.00
6600	95.65	99.57
6700	96.76	99.22
6800	97.86	98.86
6900	98.96	98.53
7000	100.00	98.14
7100	99.41	96.19
7200	98.74	94.21
7300	98.15	92.36
7400	97.50	90.52
7500	96.77	88.64
7600	94.53	85.45
7700	92.13	82.20
7800	89.69	79.00
7900	87.22	75.85
8000	84.60	72.65
