rpm	power	torque
1000	6.83	49.97
1100	7.70	51.21
1200	8.59	52.38
1300	9.66	54.37
1400	10.57	55.26
1500	11.65	56.82
1600	12.78	58.43
1700	14.02	60.35
1800	15.11	61.43
1900	16.30	62.78
2000	17.51	64.07
2100	18.99	66.18
2200	20.46	68.06
2300	21.88	69.62
2400	23.41	71.39
2500	24.83	72.69
2600	26.48	74.52
2700	28.01	75.90
2800	29.53	77.17
2900	31.07	78.40
3000	32.49	79.25
3100	34.25	80.84
3200	35.88	82.05
3300	37.63	83.45
3400	39.16	84.29
3500	40.80	85.31
3600	42.56	86.50
3700	44.23	87.48
3800	45.99	88.57
3900	47.70	89.50
4000	49.34	90.26
4100	50.98	90.99
4200	52.73	91.87
4300	54.37	92.53
4400	56.01	93.16
4500	57.74	93.89
4600	59.49	94.64
4700	61.16	95.22
4800	62.80	95.74
4900	64.55	96.40
5000	66.19	96.87
5100	67.84	97.33
5200	69.48	97.78
5300	71.22	98.34
5400	72.89	98.77
5500	74.50	99.13
5600	75.96	99.26
5700	77.57	99.58
5800	78.99	99.65
5900	80.52	99.86
6000	81.99	100.00
6100	83.04	99.62
6200	83.92	99.05
6300	85.02	98.76
6400	85.90	98.22
6500	86.67	97.58
6600	87.78	97.32
6700	88.55	96.71
6800	89.23	96.02
6900	90.10	95.55
7000	90.86	94.98
7100	91.63	94.44
7200	92.29	93.80
7300	92.95	93.18
7400	93.61	92.57
7500	94.36	92.06
7600	95.09	91.56
7700	95.74	90.98
7800	96.39	90.43
7900	97.09	89.93
8000	97.80	89.46
8100	98.24	88.75
8200	98.68	88.06
8300	99.12	87.39
8400	99.56	86.73
8500	100.00	86.09
8600	99.52	84.68
8700	98.87	83.16
8800	98.22	81.67
8900	97.57	80.22
9000	96.84	78.74
