rpm	power	torque
1200	13.57	57.19
1300	15.28	59.46
1400	17.02	61.50
1500	18.77	63.28
1600	20.51	64.85
1700	22.52	66.99
1800	24.66	69.30
1900	26.63	70.89
2000	28.98	73.28
2100	32.48	78.22
2200	35.97	82.70
2300	39.47	86.80
2400	42.84	90.28
2500	45.46	91.98
2600	48.09	93.55
2700	50.61	94.80
2800	53.12	95.95
2900	55.53	96.84
3000	57.93	97.67
3100	60.34	98.44
3200	62.74	99.17
3300	64.93	99.51
3400	66.95	99.59
3500	69.08	99.83
3600	71.18	100.00
3700	73.01	99.80
3800	74.76	99.50
3900	76.50	99.21
4000	78.25	98.94
4100	79.88	98.54
4200	81.41	98.03
4300	83.04	97.68
4400	84.58	97.23
4500	85.72	96.35
4600	87.32	96.01
4700	88.74	95.50
4800	90.10	94.94
4900	91.37	94.31
5000	92.79	93.86
5100	94.10	93.32
5200	95.45	92.84
5300	96.37	91.97
5400	97.16	91.00
5500	98.03	90.15
5600	98.90	89.32
5700	99.23	88.05
5800	99.45	86.72
5900	99.67	85.44
6000	100.00	84.30
6100	100.00	82.91
6200	100.00	81.58
6300	100.00	80.28
6400	100.00	79.03
6500	99.67	77.56
6600	99.45	76.21
6700	99.08	74.80
6800	98.76	73.46
6900	98.24	72.01
7000	97.69	70.59
7100	97.03	69.12
7200	96.37	67.70
