rpm	power	torque
1000	13.66	82.34
1100	15.20	83.32
1200	16.75	84.14
1300	18.28	84.79
1400	19.82	85.37
1500	21.16	85.06
1600	22.91	86.32
1700	24.47	86.80
1800	26.11	87.47
1900	27.56	87.47
2000	29.31	88.36
2100	31.06	89.17
2200	32.73	89.70
2300	34.41	90.19
2400	36.17	90.87
2500	37.83	91.22
2600	39.70	92.07
2700	41.55	92.78
2800	43.42	93.50
2900	45.22	94.01
3000	47.06	94.58
3100	48.93	95.17
3200	50.85	95.80
3300	52.68	96.25
3400	54.49	96.62
3500	56.36	97.09
3600	58.19	97.46
3700	59.96	97.70
3800	61.77	98.00
3900	63.53	98.22
4000	65.31	98.44
4100	67.07	98.62
4200	68.83	98.81
4300	70.60	98.99
4400	72.36	99.16
4500	74.02	99.17
4600	75.83	99.39
4700	77.66	99.62
4800	79.42	99.76
4900	81.12	99.82
5000	82.93	100.00
5100	84.28	99.64
5200	85.60	99.26
5300	86.93	98.89
5400	88.33	98.62
5500	89.61	98.24
5600	90.68	97.64
5700	91.79	97.09
5800	92.89	96.57
5900	93.83	95.89
6000	95.02	95.48
6100	95.68	94.57
6200	96.48	93.82
6300	97.34	93.15
6400	98.02	92.34
6500	98.88	91.72
6600	99.12	90.55
6700	99.33	89.38
6800	99.56	88.27
6900	99.78	87.19
7000	100.00	86.13
7100	99.34	84.36
7200	98.57	82.54
7300	97.80	80.78
7400	96.92	78.97
7500	96.18	77.32
