rpm	power	torque
1000	6.39	33.57
1100	7.66	36.59
1200	8.93	39.11
1300	10.20	41.24
1400	11.47	43.06
1500	12.85	45.03
1600	14.89	48.92
1700	16.82	52.01
1800	18.76	54.76
1900	20.70	57.27
2000	22.73	59.73
2100	25.60	64.07
2200	28.33	67.68
2300	31.06	70.97
2400	33.98	74.41
2500	36.68	77.11
2600	39.61	80.06
2700	42.53	82.78
2800	45.56	85.52
2900	48.48	87.87
3000	51.30	89.86
3100	53.98	91.52
3200	56.59	92.94
3300	59.07	94.08
3400	61.72	95.41
3500	64.26	96.49
3600	66.63	97.27
3700	69.03	98.05
3800	71.31	98.63
3900	73.71	99.33
4000	76.11	100.00
4100	77.53	99.39
4200	79.07	98.95
4300	80.62	98.53
4400	82.16	98.13
4500	83.59	97.63
4600	85.02	97.14
4700	86.27	96.47
4800	87.67	95.99
4900	88.99	95.44
5000	90.39	95.01
5100	91.53	94.32
5200	92.73	93.72
5300	93.83	93.05
5400	94.93	92.39
5500	96.10	91.83
5600	96.92	90.96
5700	97.58	89.97
5800	98.44	89.20
5900	99.20	88.36
6000	100.00	87.59
6100	97.86	84.31
6200	95.67	81.10
