rpm	power	torque
1000	9.05	50.89
1100	10.55	53.95
1200	12.09	56.67
1300	13.52	58.50
1400	14.95	60.07
1500	16.49	61.84
1600	18.25	64.16
1700	20.01	66.21
1800	21.68	67.73
1900	23.44	69.38
2000	25.20	70.86
2100	27.40	73.38
2200	29.38	75.11
2300	31.58	77.23
2400	33.56	78.66
2500	35.68	80.27
2600	37.97	82.13
2700	40.39	84.13
2800	42.81	85.99
2900	45.01	87.29
3000	47.35	88.78
3100	49.63	90.05
3200	51.83	91.10
3300	54.03	92.09
3400	56.23	93.03
3500	58.55	94.08
3600	60.86	95.08
3700	63.06	95.86
3800	65.26	96.59
3900	67.46	97.29
4000	69.66	97.95
4100	71.81	98.51
4200	73.84	98.89
4300	75.83	99.18
4400	78.03	99.74
4500	80.01	100.00
4600	81.60	99.77
4700	83.31	99.70
4800	84.90	99.48
4900	86.55	99.34
5000	87.98	98.97
5100	89.41	98.60
5200	90.62	98.02
5300	91.83	97.45
5400	93.04	96.91
5500	94.18	96.31
5600	95.13	95.55
5700	96.12	94.85
5800	97.00	94.07
5900	97.99	93.42
6000	98.99	92.79
6100	99.12	91.39
6200	99.34	90.12
6300	99.56	88.88
6400	99.78	87.69
6500	100.00	86.53
6600	98.59	84.01
6700	96.94	81.37
6800	95.40	78.90
6900	93.76	76.42
7000	92.21	74.09
7100	89.02	70.52
7200	85.62	66.88
7300	82.21	63.34
7400	78.90	59.97
7500	75.38	56.53
