rpm	power	torque
1000	7.52	50.02
1100	8.94	54.06
1200	10.28	57.01
1300	11.63	59.51
1400	13.07	62.14
1500	14.44	64.07
1600	16.10	66.97
1700	17.84	69.85
1800	19.45	71.92
1900	21.24	74.38
2000	22.84	75.98
2100	24.70	78.27
2200	26.68	80.69
2300	28.49	82.42
2400	30.30	84.00
2500	32.17	85.63
2600	34.14	87.37
2700	36.07	88.90
2800	37.98	90.26
2900	39.97	91.72
3000	41.82	92.76
3100	43.63	93.66
3200	45.44	94.50
3300	47.25	95.28
3400	49.06	96.02
3500	50.87	96.72
3600	52.68	97.38
3700	54.36	97.77
3800	56.08	98.21
3900	57.89	98.78
4000	59.52	99.01
4100	61.18	99.29
4200	62.67	99.29
4300	64.26	99.44
4400	65.85	99.58
4500	67.44	99.72
4600	69.00	99.82
4700	70.46	99.76
4800	72.02	99.85
4900	73.58	99.92
5000	75.14	100.00
5100	76.61	99.96
5200	78.13	99.98
5300	79.63	99.98
5400	81.08	99.92
5500	82.62	99.96
5600	83.99	99.81
5700	85.34	99.63
5800	86.79	99.58
5900	88.14	99.41
6000	89.71	99.49
6100	90.72	98.97
6200	91.85	98.58
6300	93.08	98.32
6400	94.21	97.95
6500	95.38	97.65
6600	96.35	97.14
6700	97.25	96.59
6800	98.16	96.06
6900	99.06	95.54
7000	100.00	95.06
7100	98.80	92.60
7200	97.45	90.07
7300	96.00	87.51
7400	94.58	85.05
7500	93.20	82.69
7600	87.85	76.92
7700	82.01	70.87
7800	76.16	64.97
7900	70.31	59.23
8000	64.58	53.72
