rpm	power	torque
2500	9.56	48.26
2600	10.24	49.72
2700	10.82	50.57
2800	11.50	51.84
2900	12.08	52.56
3000	12.67	53.28
3100	13.45	54.74
3200	14.13	55.72
3300	14.81	56.65
3400	15.50	57.52
3500	16.18	58.35
3600	16.87	59.12
3700	17.55	59.86
3800	18.34	60.92
3900	19.03	61.57
4000	19.76	62.33
4100	20.51	63.12
4200	21.30	64.00
4300	22.10	64.85
4400	22.78	65.33
4500	23.52	65.96
4600	24.37	66.85
4700	25.16	67.56
4800	25.96	68.24
4900	26.75	68.89
5000	27.51	69.42
5100	28.43	70.36
5200	29.24	70.97
5300	30.07	71.60
5400	30.94	72.31
5500	31.73	72.81
5600	32.86	74.05
5700	33.79	74.80
5800	34.72	75.54
5900	35.79	76.55
6000	36.69	77.18
6100	37.71	78.01
6200	38.65	78.67
6300	39.58	79.28
6400	40.51	79.88
6500	41.44	80.45
6600	42.45	81.16
6700	43.52	81.96
6800	44.47	82.54
6900	45.49	83.19
7000	46.50	83.83
7100	47.63	84.65
7200	48.60	85.18
7300	49.75	86.00
7400	50.78	86.59
7500	51.83	87.20
7600	52.97	87.96
7700	53.96	88.43
7800	55.05	89.07
7900	56.18	89.74
8000	57.19	90.21
8100	58.28	90.79
8200	59.22	91.13
8300	60.34	91.75
8400	61.28	92.07
8500	62.37	92.60
8600	63.36	92.97
8700	64.40	93.41
8800	65.44	93.84
8900	66.43	94.19
9000	67.52	94.67
9100	68.46	94.94
9200	69.59	95.46
9300	70.59	95.79
9400	71.67	96.22
9500	72.73	96.61
9600	73.63	96.79
9700	74.65	97.11
9800	75.55	97.29
9900	76.53	97.56
10000	77.46	97.75
10100	78.39	97.95
10200	79.39	98.22
10300	80.40	98.50
10400	81.40	98.77
10500	82.33	98.94
10600	83.26	99.12
10700	84.24	99.35
10800	85.25	99.61
10900	86.15	99.74
11000	87.17	100.00
11100	87.85	99.88
11200	88.43	99.63
11300	89.27	99.69
11400	89.90	99.52
11500	90.66	99.48
11600	91.27	99.29
11700	91.85	99.06
11800	92.53	98.95
11900	93.10	98.73
12000	93.74	98.58
12100	94.36	98.41
12200	94.94	98.20
12300	95.51	97.99
12400	96.09	97.79
12500	96.73	97.65
12600	97.14	97.29
12700	97.70	97.08
12800	98.16	96.78
12900	98.63	96.48
13000	99.20	96.30
13100	99.34	95.70
13200	99.56	95.18
13300	99.67	94.57
13400	99.78	93.97
13500	100.00	93.48
13600	98.65	91.54
13700	96.63	89.01
13800	94.76	86.66
13900	92.82	84.27
14000	90.99	82.02
