rpm	power	torque
1000	6.28	42.77
1100	7.39	45.76
1200	8.61	48.89
1300	9.83	51.53
1400	11.05	53.79
1500	12.39	56.26
1600	13.94	59.35
1700	15.38	61.64
1800	16.89	63.93
1900	18.28	65.55
2000	19.82	67.50
2100	21.37	69.32
2200	22.91	70.94
2300	24.47	72.49
2400	26.14	74.19
2500	27.49	74.91
2600	29.24	76.62
2700	30.68	77.42
2800	32.34	78.70
2900	33.96	79.79
3000	35.35	80.28
3100	37.39	82.17
3200	39.21	83.48
3300	41.10	84.84
3400	42.76	85.68
3500	44.60	86.82
3600	46.50	88.00
3700	48.32	88.97
3800	50.18	89.96
3900	51.95	90.75
4000	53.72	91.50
4100	55.39	92.04
4200	56.94	92.36
4300	58.60	92.84
4400	60.26	93.31
4500	61.81	93.58
4600	63.81	94.50
4700	65.58	95.06
4800	67.57	95.91
4900	69.45	96.57
5000	71.26	97.09
5100	73.11	97.66
5200	74.99	98.25
5300	76.71	98.60
5400	78.54	99.08
5500	80.29	99.45
5600	81.75	99.46
5700	83.34	99.61
5800	84.94	99.77
5900	86.52	99.90
6000	88.07	100.00
6100	89.02	99.43
6200	90.18	99.10
6300	91.18	98.61
6400	92.29	98.24
6500	93.29	97.78
6600	93.94	96.97
6700	94.62	96.21
6800	95.26	95.44
6900	95.95	94.74
7000	96.67	94.09
7100	96.92	93.00
7200	97.36	92.12
7300	97.80	91.27
7400	98.24	90.44
7500	98.52	89.49
7600	98.90	88.66
7700	99.12	87.70
7800	99.34	86.77
7900	99.56	85.86
8000	100.00	85.16
8100	98.72	83.03
8200	97.10	80.67
8300	95.60	78.47
8400	94.11	76.33
8500	92.40	74.06
