rpm	power	torque
1000	12.56	54.49
1100	15.40	60.70
1200	18.15	65.61
1300	20.80	69.39
1400	23.45	72.64
1500	26.29	76.01
1600	29.73	80.60
1700	33.13	84.53
1800	36.57	88.11
1900	39.98	91.26
2000	43.24	93.76
2100	46.05	95.10
2200	48.81	96.22
2300	51.68	97.44
2400	54.51	98.50
2500	57.30	99.41
2600	59.95	100.00
2700	62.01	99.61
2800	64.04	99.19
2900	66.09	98.84
3000	68.02	98.33
3100	69.73	97.55
3200	71.55	96.96
3300	73.21	96.22
3400	74.87	95.50
3500	76.59	94.91
3600	78.19	94.19
3700	79.85	93.59
3800	81.47	92.98
3900	83.17	92.48
4000	84.67	91.80
4100	85.82	90.78
4200	87.09	89.93
4300	88.25	89.01
4400	89.45	88.17
4500	90.66	87.37
4600	91.73	86.48
4700	92.78	85.61
4800	93.94	84.88
4900	94.99	84.07
5000	96.14	83.39
5100	96.70	82.23
5200	97.36	81.20
5300	97.87	80.08
5400	98.48	79.09
5500	99.20	78.22
5600	99.34	76.93
5700	99.54	75.73
5800	99.67	74.53
5900	99.78	73.35
6000	100.00	72.28
6100	99.67	70.86
6200	99.17	69.37
6300	98.78	68.00
6400	98.39	66.68
6500	97.91	65.33
6600	96.22	63.23
6700	94.34	61.07
6800	92.46	58.97
6900	90.58	56.93
7000	88.70	54.96
7100	85.57	52.27
7200	82.20	49.51
