rpm	power	torque
1000	3.96	19.38
1100	5.07	22.51
1200	6.39	26.02
1300	7.67	28.82
1400	8.81	30.76
1500	10.24	33.38
1600	12.29	37.55
1700	14.43	41.51
1800	16.62	45.14
1900	18.70	48.11
2000	20.89	51.05
2100	23.74	55.25
2200	26.48	58.83
2300	29.32	62.32
2400	32.06	65.31
2500	34.80	68.05
2600	38.19	71.81
2700	41.48	75.09
2800	44.65	77.95
2900	47.85	80.65
3000	51.10	83.27
3100	54.71	86.28
3200	58.22	88.93
3300	61.83	91.59
3400	65.40	94.02
3500	68.80	96.08
3600	71.42	96.98
3700	74.05	97.84
3800	76.68	98.64
3900	79.31	99.41
4000	81.83	100.00
4100	83.36	99.39
4200	84.99	98.92
4300	86.34	98.16
4400	87.95	97.71
4500	89.32	97.02
4600	90.31	95.97
4700	91.31	94.96
4800	92.29	93.99
4900	93.26	93.04
5000	94.27	92.17
5100	95.07	91.13
5200	95.93	90.17
5300	96.70	89.18
5400	97.58	88.33
5500	98.35	87.41
5600	98.68	86.14
5700	98.90	84.81
5800	99.34	83.72
5900	99.56	82.49
6000	100.00	81.47
6100	99.56	79.78
6200	98.90	77.98
6300	98.46	76.40
6400	97.91	74.78
6500	97.39	73.24
6600	94.41	69.92
6700	91.26	66.58
6800	88.06	63.30
6900	84.89	60.14
7000	81.53	56.94
