rpm	power	torque
1000	6.83	40.23
1100	7.83	41.94
1200	9.03	44.34
1300	10.09	45.74
1400	11.23	47.28
1500	12.31	48.34
1600	14.10	51.91
1700	15.60	54.08
1800	17.27	56.51
1900	18.83	58.38
2000	20.53	60.49
2100	23.69	66.45
2200	26.67	71.42
2300	29.67	76.00
2400	32.71	80.31
2500	35.65	84.01
2600	38.50	87.24
2700	41.30	90.11
2800	44.02	92.64
2900	46.79	95.06
3000	49.44	97.10
3100	51.44	97.76
3200	53.43	98.37
3300	55.35	98.83
3400	57.30	99.30
3500	59.14	99.56
3600	61.04	99.90
3700	62.73	99.89
3800	64.47	99.95
3900	66.18	99.98
4000	67.89	100.00
4100	69.49	99.86
4200	71.15	99.80
4300	72.70	99.61
4400	74.37	99.59
4500	75.88	99.35
4600	77.48	99.23
4700	79.07	99.13
4800	80.58	98.91
4900	82.24	98.89
5000	83.80	98.75
5100	85.52	98.79
5200	87.12	98.71
5300	89.02	98.96
5400	90.54	98.79
5500	92.18	98.75
5600	93.66	98.54
5700	95.32	98.53
5800	96.84	98.37
5900	98.33	98.20
6000	99.98	98.18
6100	100.00	96.59
6200	99.78	94.82
6300	99.56	93.11
6400	99.56	91.65
6500	99.45	90.14
6600	98.08	87.56
6700	96.64	84.98
6800	95.15	82.45
6900	93.75	80.06
7000	92.19	77.60
7100	89.39	74.18
7200	86.16	70.51
