rpm	power	torque
1000	8.81	53.32
1100	9.91	54.53
1200	11.02	55.57
1300	12.34	57.42
1400	13.66	59.03
1500	14.88	60.02
1600	16.32	61.72
1700	17.87	63.59
1800	19.41	65.26
1900	20.94	66.69
2000	22.41	67.80
2100	24.49	70.56
2200	26.37	72.51
2300	28.35	74.59
2400	30.32	76.43
2500	32.21	77.97
2600	34.42	80.10
2700	36.41	81.59
2800	38.61	83.44
2900	40.68	84.87
3000	42.70	86.11
3100	44.87	87.57
3200	47.00	88.86
3300	49.10	90.01
3400	51.26	91.22
3500	53.29	92.12
3600	55.38	93.08
3700	57.43	93.92
3800	59.58	94.86
3900	61.56	95.51
4000	63.61	96.21
4100	65.53	96.71
4200	67.52	97.27
4300	69.34	97.57
4400	71.27	98.01
4500	73.25	98.49
4600	75.07	98.75
4700	77.01	99.14
4800	78.89	99.44
4900	80.81	99.78
5000	82.64	100.00
5100	84.11	99.79
5200	85.62	99.62
5300	87.02	99.34
5400	88.45	99.11
5500	90.15	99.17
5600	91.28	98.63
5700	92.47	98.15
5800	93.63	97.67
5900	94.95	97.37
6000	96.25	97.06
6100	96.93	96.15
6200	97.59	95.24
6300	98.45	94.55
6400	99.23	93.81
6500	100.00	93.08
6600	98.92	90.68
6700	97.59	88.13
6800	96.27	85.66
6900	94.95	83.26
7000	93.63	80.93
7100	91.33	77.83
7200	88.79	74.62
7300	86.25	71.49
7400	83.72	68.45
7500	81.36	65.64
