rpm	power	torque
1000	10.88	60.26
1100	13.07	65.81
1200	15.27	70.44
1300	17.43	74.26
1400	19.62	77.59
1500	21.80	80.48
1600	23.99	83.01
1700	26.17	85.24
1800	28.30	87.07
1900	30.38	88.55
2000	32.50	89.99
2100	34.69	91.46
2200	36.85	92.74
2300	38.83	93.49
2400	41.02	94.64
2500	42.98	95.20
2600	45.17	96.19
2700	47.16	96.71
2800	49.31	97.52
2900	51.31	97.97
3000	53.46	98.68
3100	55.43	99.00
3200	57.39	99.31
3300	59.36	99.59
3400	61.32	99.86
3500	63.21	100.00
3600	64.89	99.80
3700	66.55	99.60
3800	68.28	99.50
3900	70.03	99.43
4000	71.56	99.07
4100	73.10	98.72
4200	74.63	98.39
4300	76.05	97.93
4400	77.58	97.63
4500	79.04	97.26
4600	80.43	96.81
4700	81.80	96.36
4800	83.16	95.93
4900	84.58	95.58
5000	86.00	95.24
5100	87.31	94.80
5200	88.63	94.37
5300	90.05	94.08
5400	91.36	93.68
5500	92.67	93.30
5600	93.66	92.61
5700	94.75	92.04
5800	95.73	91.39
5900	96.71	90.76
6000	97.69	90.15
6100	98.17	89.11
6200	98.67	88.12
6300	99.10	87.10
6400	99.60	86.17
6500	100.00	85.19
6600	97.53	81.82
6700	94.80	78.35
6800	91.98	74.90
6900	89.14	71.53
7000	86.52	68.43
