rpm	power	torque
500	2.53	30.79
600	3.64	36.92
700	4.74	41.21
800	5.79	44.04
900	6.95	46.99
1000	8.11	49.35
1100	9.71	53.72
1200	11.31	57.36
1300	12.95	60.63
1400	14.61	63.51
1500	16.27	66.01
1600	18.59	70.71
1700	20.92	74.86
1800	23.24	78.54
1900	25.52	81.72
2000	27.66	84.14
2100	29.98	86.85
2200	32.08	88.71
2300	34.18	90.41
2400	36.50	92.53
2500	38.49	93.67
2600	40.48	94.73
2700	42.36	95.46
2800	44.24	96.13
2900	46.09	96.71
3000	47.82	96.98
3100	49.66	97.47
3200	51.35	97.63
3300	53.20	98.09
3400	54.86	98.18
3500	56.59	98.37
3600	58.40	98.71
3700	60.06	98.77
3800	61.72	98.83
3900	63.39	98.89
4000	65.03	98.92
4100	66.71	98.99
4200	68.45	99.16
4300	70.25	99.40
4400	71.91	99.43
4500	73.58	99.49
4600	75.29	99.59
4700	77.11	99.82
4800	78.77	99.85
4900	80.43	99.87
5000	82.18	100.00
5100	83.75	99.92
5200	85.26	99.76
5300	86.85	99.70
5400	88.32	99.51
5500	90.03	99.59
5600	91.39	99.30
5700	92.79	99.04
5800	94.17	98.78
5900	95.55	98.53
6000	96.93	98.30
6100	97.65	97.40
6200	98.26	96.42
6300	98.79	95.41
6400	99.45	94.54
6500	100.00	93.61
6600	99.96	92.15
6700	99.79	90.62
6800	99.67	89.18
6900	99.45	87.69
7000	99.34	86.35
7100	98.23	84.18
7200	97.07	82.03
7300	95.91	79.94
7400	94.75	77.90
7500	93.56	75.90
7600	91.68	73.40
7700	89.80	70.96
7800	87.70	68.41
7900	85.82	66.10
8000	83.72	63.67
