rpm	power	torque
1000	9.28	59.96
1100	11.11	65.29
1200	12.88	69.36
1300	14.86	73.88
1400	16.73	77.22
1500	18.72	80.65
1600	21.26	85.84
1700	23.68	90.01
1800	26.10	93.71
1900	28.75	97.77
2000	30.95	100.00
2100	32.50	99.99
2200	34.04	99.98
2300	35.58	99.97
2400	37.13	99.96
2500	38.67	99.95
2600	40.21	99.94
2700	41.76	99.94
2800	43.30	99.93
2900	44.85	99.92
3000	46.39	99.92
3100	47.93	99.91
3200	49.48	99.91
3300	51.02	99.90
3400	52.57	99.90
3500	54.11	99.89
3600	55.65	99.89
3700	57.15	99.81
3800	58.69	99.80
3900	60.24	99.80
4000	61.78	99.79
4100	63.32	99.79
4200	64.86	99.79
4300	66.40	99.78
4400	67.95	99.78
4500	69.43	99.69
4600	71.03	99.78
4700	72.57	99.77
4800	74.11	99.77
4900	75.66	99.77
5000	77.13	99.68
5100	78.74	99.76
5200	80.17	99.62
5300	81.71	99.62
5400	83.26	99.62
5500	84.77	99.58
5600	86.31	99.59
5700	87.77	99.50
5800	89.29	99.48
5900	90.86	99.51
6000	92.40	99.51
6100	93.94	99.51
6200	95.37	99.40
6300	96.92	99.40
6400	98.46	99.41
6500	100.00	99.41
6600	97.63	95.58
6700	94.98	91.60
6800	92.34	87.74
6900	89.69	84.00
7000	86.95	80.26
7100	81.24	73.93
7200	75.06	67.36
7300	68.89	60.98
7400	62.72	54.77
7500	56.34	48.54
