rpm	power	torque
1000	10.35	61.96
1100	13.33	72.57
1200	16.22	80.91
1300	19.26	88.70
1400	22.29	95.29
1500	25.05	99.97
1600	26.71	99.94
1700	28.37	99.91
1800	30.04	99.89
1900	31.70	99.87
2000	33.36	99.85
2100	35.02	99.84
2200	36.69	99.82
2300	38.33	99.77
2400	40.01	99.80
2500	41.59	99.58
2600	43.36	99.83
2700	45.00	99.76
2800	46.67	99.79
2900	48.39	99.88
3000	49.99	99.75
3100	51.65	99.73
3200	53.31	99.73
3300	54.97	99.72
3400	56.63	99.71
3500	58.41	99.90
3600	59.96	99.70
3700	61.66	99.77
3800	63.35	99.80
3900	64.96	99.70
4000	66.62	99.70
4100	68.49	100.00
4200	69.98	99.75
4300	71.69	99.81
4400	73.41	99.87
4500	75.01	99.78
4600	76.72	99.84
4700	78.40	99.86
4800	79.94	99.70
4900	81.70	99.82
5000	83.34	99.78
5100	85.01	99.78
5200	86.77	99.89
5300	88.31	99.75
5400	90.20	99.99
5500	91.72	99.83
5600	92.94	99.35
5700	94.04	98.76
5800	95.17	98.23
5900	96.24	97.65
6000	97.50	97.27
6100	98.00	96.17
6200	98.50	95.10
6300	98.89	93.96
6400	99.54	93.11
6500	100.00	92.10
6600	98.95	89.74
6700	97.94	87.51
6800	96.90	85.30
6900	95.72	83.04
7000	94.60	80.90
7100	92.89	78.32
7200	90.88	75.56
