rpm	power	torque
3000	16.30	43.90
3100	17.30	45.10
3200	18.29	46.19
3300	19.38	47.45
3400	20.32	48.29
3500	21.46	49.54
3600	22.61	50.74
3700	23.75	51.87
3800	24.90	52.95
3900	26.05	53.97
4000	27.20	54.94
4100	28.57	56.30
4200	30.13	57.95
4300	31.53	59.24
4400	32.89	60.40
4500	34.37	61.72
4600	35.85	62.97
4700	37.31	64.14
4800	38.81	65.32
4900	40.21	66.30
5000	41.77	67.50
5100	43.46	68.86
5200	45.16	70.17
5300	46.77	71.30
5400	48.49	72.56
5500	50.18	73.71
5600	51.94	74.94
5700	53.66	76.07
5800	55.49	77.31
5900	57.27	78.42
6000	59.05	79.52
6100	61.10	80.93
6200	63.04	82.16
6300	65.04	83.41
6400	66.96	84.54
6500	68.98	85.75
6600	71.05	86.98
6700	73.13	88.19
6800	75.20	89.36
6900	77.28	90.50
7000	79.25	91.48
7100	81.60	92.86
7200	83.72	93.95
7300	86.06	95.26
7400	88.22	96.33
7500	90.37	97.36
7600	92.11	97.93
7700	93.94	98.58
7800	95.67	99.10
7900	97.39	99.61
8000	99.01	100.00
8100	98.96	98.71
8200	99.01	97.56
8300	99.01	96.39
8400	99.01	95.24
8500	99.01	94.12
8600	99.12	93.13
8700	99.12	92.06
8800	99.12	91.01
8900	99.12	89.99
9000	99.07	88.94
9100	99.12	88.01
9200	99.23	87.15
9300	99.34	86.31
9400	99.34	85.39
9500	99.45	84.58
9600	99.34	83.61
9700	99.34	82.75
9800	99.45	82.00
9900	99.45	81.17
10000	99.45	80.36
10100	99.56	79.65
10200	99.56	78.87
10300	99.56	78.10
10400	99.56	77.35
10500	99.67	76.69
10600	99.56	75.89
10700	99.56	75.18
10800	99.56	74.49
10900	99.56	73.80
11000	99.56	73.13
11100	99.56	72.47
11200	99.56	71.82
11300	99.67	71.27
11400	99.78	70.72
11500	99.67	70.03
11600	99.78	69.50
11700	99.78	68.91
11800	99.78	68.32
11900	99.78	67.75
12000	99.67	67.11
12100	99.78	66.63
12200	99.78	66.08
12300	99.78	65.55
12400	99.78	65.02
12500	99.89	64.57
12600	99.78	63.99
12700	99.78	63.48
12800	99.89	63.05
12900	99.89	62.57
13000	99.89	62.08
13100	99.80	61.55
13200	99.78	61.08
13300	99.78	60.62
13400	99.78	60.17
13500	99.78	59.72
13600	99.78	59.28
13700	99.78	58.85
13800	99.89	58.49
13900	100.00	58.13
14000	100.00	57.71
14100	99.01	56.74
14200	97.99	55.76
14300	96.86	54.73
14400	95.76	53.73
14500	94.40	52.60
