rpm	power	torque
1000	5.57	39.64
1100	6.43	41.64
1200	7.37	43.74
1300	8.31	45.52
1400	9.23	46.94
1500	10.16	48.23
1600	11.24	50.01
1700	12.29	51.46
1800	13.34	52.75
1900	14.39	53.91
2000	15.38	54.74
2100	16.70	56.63
2200	17.97	58.17
2300	19.24	59.56
2400	20.51	60.85
2500	21.69	61.78
2600	23.35	63.94
2700	24.98	65.86
2800	26.45	67.25
2900	28.06	68.90
3000	29.55	70.12
3100	31.37	72.05
3200	33.08	73.60
3300	34.79	75.05
3400	36.62	76.68
3500	38.39	78.09
3600	40.82	80.72
3700	43.13	83.00
3800	45.56	85.36
3900	47.97	87.58
4000	50.24	89.42
4100	52.41	91.00
4200	54.50	92.39
4300	56.60	93.72
4400	58.70	94.98
4500	60.69	96.02
4600	62.46	96.67
4700	64.31	97.42
4800	65.99	97.88
4900	67.84	98.56
5000	69.55	99.03
5100	71.03	99.16
5200	72.63	99.44
5300	74.18	99.64
5400	75.73	99.84
5500	77.25	100.00
5600	78.60	99.93
5700	80.04	99.98
5800	81.45	99.99
5900	82.72	99.82
6000	84.14	99.84
6100	85.36	99.62
6200	86.53	99.36
6300	87.69	99.10
6400	89.03	99.04
6500	90.01	98.59
6600	91.06	98.22
6700	92.11	97.87
6800	93.15	97.53
6900	94.20	97.20
7000	95.25	96.88
7100	95.97	96.24
7200	96.69	95.61
7300	97.41	95.00
7400	98.13	94.41
7500	98.79	93.78
7600	99.12	92.85
7700	99.34	91.85
7800	99.56	90.87
7900	99.78	89.92
8000	100.00	88.99
8100	99.67	87.61
8200	99.19	86.12
8300	98.80	84.75
8400	98.41	83.41
8500	97.80	81.92
