rpm	power	torque
1000	7.06	44.54
1100	8.60	49.36
1200	10.15	53.37
1300	11.69	56.74
1400	13.03	58.71
1500	14.80	62.27
1600	17.55	69.23
1700	20.42	75.82
1800	23.09	80.94
1900	25.94	86.17
2000	28.59	90.22
2100	30.89	92.84
2200	33.01	94.69
2300	35.22	96.64
2400	37.52	98.64
2500	39.53	99.78
2600	41.08	99.70
2700	42.79	100.00
2800	44.17	99.55
2900	45.87	99.82
3000	47.34	99.58
3100	49.00	99.74
3200	50.58	99.74
3300	52.13	99.68
3400	53.85	99.95
3500	55.29	99.69
3600	56.94	99.82
3700	58.54	99.84
3800	60.04	99.70
3900	61.63	99.72
4000	63.19	99.68
4100	64.72	99.62
4200	66.27	99.57
4300	67.93	99.69
4400	69.59	99.80
4500	71.13	99.74
4600	72.68	99.71
4700	74.28	99.73
4800	75.87	99.74
4900	77.48	99.78
5000	79.07	99.79
5100	80.64	99.78
5200	82.22	99.78
5300	83.73	99.70
5400	85.28	99.66
5500	86.94	99.75
5600	88.37	99.59
5700	89.87	99.50
5800	91.25	99.28
5900	92.68	99.13
6000	94.15	99.02
6100	95.28	98.56
6200	96.38	98.10
6300	97.70	97.86
6400	98.80	97.42
6500	100.00	97.09
6600	99.04	94.70
6700	97.95	92.26
6800	96.84	89.87
6900	95.74	87.56
7000	94.62	85.30
7100	90.88	80.78
7200	86.58	75.89
7300	82.50	71.32
7400	78.30	66.77
7500	73.92	62.20
