rpm	power	torque
1000	7.26	49.64
1100	8.39	52.12
1200	9.51	54.19
1300	10.53	55.36
1400	11.65	56.90
1500	12.78	58.23
1600	13.90	59.40
1700	15.03	60.43
1800	16.24	61.70
1900	17.39	62.57
2000	18.51	63.28
2100	19.97	65.01
2200	21.31	66.23
2300	22.77	67.67
2400	24.11	68.69
2500	25.51	69.75
2600	26.88	70.67
2700	28.25	71.53
2800	29.51	72.05
2900	30.84	72.71
3000	32.19	73.35
3100	33.95	74.87
3200	35.54	75.93
3300	37.21	77.09
3400	38.89	78.19
3500	40.53	79.17
3600	42.56	80.83
3700	44.77	82.73
3800	46.84	84.27
3900	48.87	85.67
4000	50.81	86.84
4100	53.04	88.45
4200	55.18	89.83
4300	57.44	91.32
4400	59.47	92.40
4500	61.72	93.76
4600	63.75	94.74
4700	65.78	95.68
4800	67.81	96.58
4900	69.84	97.44
5000	71.87	98.27
5100	73.64	98.71
5200	75.27	98.96
5300	77.08	99.43
5400	78.67	99.60
5500	80.45	100.00
5600	81.85	99.93
5700	83.25	99.85
5800	84.71	99.84
5900	86.16	99.84
6000	87.55	99.76
6100	88.87	99.60
6200	90.31	99.58
6300	91.76	99.58
6400	93.11	99.46
6500	94.50	99.39
6600	95.58	99.00
6700	96.70	98.67
6800	97.72	98.24
6900	98.84	97.93
7000	99.97	97.63
7100	100.00	96.29
7200	100.00	94.95
7300	100.00	93.65
7400	100.00	92.39
7500	100.00	91.15
7600	99.22	89.25
7700	98.32	87.29
7800	97.47	85.43
7900	96.61	83.61
8000	95.82	81.88
