rpm	power	torque
1000	13.90	76.52
1100	15.61	78.15
1200	17.24	79.11
1300	18.79	79.58
1400	20.43	80.35
1500	22.04	80.89
1600	23.83	81.99
1700	25.69	83.20
1800	27.44	83.94
1900	29.24	84.73
2000	30.99	85.30
2100	32.81	86.02
2200	34.70	86.83
2300	36.54	87.46
2400	38.40	88.09
2500	40.15	88.43
2600	42.24	89.44
2700	44.31	90.34
2800	46.27	90.98
2900	48.27	91.63
3000	50.35	92.40
3100	52.61	93.43
3200	54.79	94.27
3300	56.98	95.06
3400	59.16	95.80
3500	61.35	96.50
3600	63.54	97.17
3700	65.81	97.92
3800	68.11	98.68
3900	70.31	99.26
4000	72.50	99.78
4100	74.25	99.70
4200	76.21	99.90
4300	77.98	99.84
4400	79.92	100.00
4500	81.70	99.96
4600	83.23	99.62
4700	84.77	99.30
4800	86.30	98.99
4900	87.68	98.51
5000	89.29	98.32
5100	90.57	97.77
5200	91.77	97.16
5300	92.97	96.58
5400	94.29	96.13
5500	95.60	95.70
5600	96.37	94.74
5700	97.35	94.02
5800	98.22	93.23
5900	99.12	92.49
6000	100.00	91.76
6100	98.94	89.30
6200	97.74	86.79
6300	96.54	84.36
6400	95.23	81.92
6500	93.99	79.61
6600	91.22	76.09
6700	88.29	72.55
6800	85.32	69.08
6900	82.38	65.73
7000	79.54	62.56
