rpm	power	torque
1000	9.93	41.76
1100	11.69	44.71
1200	13.57	47.59
1300	15.47	50.08
1400	17.22	51.75
1500	19.27	54.04
1600	21.97	57.77
1700	24.64	60.97
1800	27.27	63.75
1900	29.87	66.14
2000	32.80	69.01
2100	37.59	75.31
2200	42.31	80.92
2300	47.09	86.14
2400	51.76	90.73
2500	56.25	94.67
2600	59.07	95.58
2700	62.00	96.60
2800	64.92	97.55
2900	67.78	98.33
3000	70.55	98.95
3100	73.13	99.25
3200	75.64	99.44
3300	78.12	99.60
3400	80.61	99.75
3500	83.07	99.85
3600	85.47	99.88
3700	87.76	99.79
3800	90.32	100.00
3900	92.48	99.77
4000	94.95	99.87
4100	95.82	98.32
4200	96.83	96.99
4300	97.71	95.60
4400	98.72	94.39
4500	99.69	93.20
4600	99.69	91.18
4700	99.69	89.24
4800	99.92	87.58
4900	99.92	85.79
5000	100.00	84.14
5100	99.92	82.42
5200	99.92	80.84
5300	99.69	79.14
5400	99.69	77.67
5500	99.69	76.26
5600	99.69	74.90
5700	99.69	73.59
5800	99.69	72.32
5900	99.69	71.09
6000	99.69	69.91
6100	96.67	66.67
6200	93.37	63.36
