rpm	power	torque
1000	9.25	57.56
1100	10.36	58.58
1200	11.67	60.53
1300	13.00	62.20
1400	14.32	63.63
1500	15.44	64.03
1600	16.76	65.18
1700	18.09	66.20
1800	19.41	67.10
1900	20.74	67.91
2000	22.06	68.63
2100	23.57	69.83
2200	24.89	70.40
2300	26.23	70.97
2400	27.58	71.51
2500	28.99	72.16
2600	30.67	73.40
2700	32.41	74.69
2800	33.98	75.52
2900	35.75	76.70
3000	37.37	77.51
3100	39.24	78.77
3200	41.04	79.81
3300	42.81	80.72
3400	44.57	81.58
3500	46.38	82.46
3600	48.88	84.48
3700	51.30	86.28
3800	53.67	87.88
3900	56.05	89.42
4000	58.42	90.88
4100	60.79	92.26
4200	63.10	93.49
4300	65.36	94.59
4400	67.74	95.79
4500	69.93	96.70
4600	72.04	97.45
4700	74.13	98.15
4800	76.23	98.82
4900	78.33	99.47
5000	80.35	100.00
5100	81.72	99.70
5200	83.18	99.54
5300	84.54	99.26
5400	85.98	99.07
5500	87.33	98.81
5600	88.83	98.70
5700	89.87	98.11
5800	91.13	97.77
5900	92.46	97.51
6000	93.70	97.17
6100	94.80	96.70
6200	95.81	96.16
6300	96.92	95.72
6400	97.98	95.26
6500	98.99	94.77
6600	99.23	93.55
6700	99.45	92.36
6800	99.56	91.10
6900	99.78	89.98
7000	100.00	88.89
7100	97.38	85.34
7200	94.40	81.58
7300	91.53	78.02
7400	88.44	74.37
7500	85.50	70.94
