rpm	power	torque
1000	10.46	53.37
1100	12.56	58.24
1200	14.55	61.83
1300	16.74	65.69
1400	18.52	67.47
1500	20.72	70.48
1600	23.03	73.42
1700	25.45	76.38
1800	27.79	78.74
1900	30.21	81.11
2000	32.53	82.97
2100	35.07	85.18
2200	37.60	87.19
2300	40.14	89.03
2400	42.68	90.71
2500	45.18	92.20
2600	47.64	93.47
2700	50.18	94.80
2800	52.57	95.77
2900	54.92	96.61
3000	57.46	97.70
3100	59.73	98.29
3200	61.94	98.74
3300	64.19	99.22
3400	66.40	99.62
3500	68.61	100.00
3600	70.48	99.88
3700	72.35	99.75
3800	74.18	99.57
3900	76.11	99.55
4000	77.86	99.30
4100	79.69	99.15
4200	81.41	98.87
4300	83.04	98.51
4400	84.76	98.27
4500	86.45	98.00
4600	88.29	97.91
4700	89.72	97.38
4800	91.34	97.07
4900	92.95	96.77
5000	94.57	96.49
5100	95.59	95.62
5200	96.70	94.86
5300	97.80	94.13
5400	98.90	93.42
5500	100.00	92.75
5600	97.93	89.20
5700	95.63	85.58
5800	93.52	82.25
5900	91.21	78.86
6000	88.91	75.59
6100	85.27	71.30
6200	81.40	66.97
6300	77.55	62.79
6400	73.68	58.73
6500	69.64	54.65
