rpm	power	torque
1000	10.13	64.85
1100	11.06	64.38
1200	12.33	65.79
1300	13.59	66.90
1400	14.74	67.39
1500	15.89	67.81
1600	17.48	69.94
1700	18.90	71.16
1800	20.45	72.71
1900	21.82	73.50
2000	23.41	74.92
2100	25.22	76.88
2200	26.95	78.42
2300	28.74	79.99
2400	30.44	81.18
2500	32.19	82.42
2600	33.96	83.59
2700	35.77	84.79
2800	37.47	85.66
2900	39.28	86.70
3000	40.92	87.31
3100	42.60	87.96
3200	44.28	88.56
3300	45.95	89.13
3400	47.57	89.56
3500	49.20	89.97
3600	51.09	90.84
3700	52.68	91.14
3800	54.56	91.90
3900	56.31	92.41
4000	58.02	92.85
4100	60.26	94.08
4200	62.40	95.10
4300	64.60	96.16
4400	66.80	97.18
4500	68.83	97.91
4600	70.76	98.45
4700	72.57	98.83
4800	74.49	99.33
4900	76.31	99.69
5000	78.12	100.00
5100	79.38	99.62
5200	80.57	99.18
5300	81.81	98.80
5400	83.05	98.44
5500	84.25	98.05
5600	85.46	97.68
5700	86.52	97.16
5800	87.77	96.86
5900	88.99	96.54
6000	90.20	96.22
6100	91.41	95.92
6200	92.72	95.72
6300	93.96	95.46
6400	95.19	95.20
6500	96.49	95.02
6600	97.22	94.29
6700	97.91	93.54
6800	98.57	92.78
6900	99.28	92.10
7000	100.00	91.44
7100	99.57	89.77
7200	99.34	88.31
7300	98.90	86.72
7400	98.57	85.26
7500	98.24	83.84
7600	96.25	81.06
7700	94.20	78.31
7800	92.00	75.50
7900	89.81	72.77
8000	88.07	70.46
