rpm	power	torque
1000	10.34	56.29
1100	12.33	60.99
1200	14.09	63.91
1300	15.85	66.34
1400	17.61	68.44
1500	19.38	70.33
1600	21.70	73.81
1700	24.11	77.19
1800	26.44	79.93
1900	28.85	82.63
2000	31.19	84.88
2100	34.26	88.79
2200	37.12	91.84
2300	40.21	95.14
2400	43.07	97.67
2500	45.83	99.76
2600	47.70	99.85
2700	49.58	99.93
2800	51.34	99.79
2900	53.18	99.80
3000	54.98	99.74
3100	56.85	99.81
3200	58.73	99.88
3300	60.56	99.88
3400	62.36	99.83
3500	64.13	99.72
3600	66.07	99.88
3700	67.88	99.84
3800	69.64	99.74
3900	71.51	99.80
4000	73.28	99.70
4100	75.15	99.76
4200	77.08	99.88
4300	78.90	99.86
4400	80.66	99.77
4500	82.42	99.68
4600	84.35	99.80
4700	86.18	99.79
4800	87.94	99.71
4900	90.03	100.00
5000	91.66	99.77
5100	93.09	99.34
5200	94.59	99.00
5300	96.10	98.68
5400	97.49	98.26
5500	98.93	97.89
5600	99.15	96.35
5700	99.37	94.87
5800	99.48	93.34
5900	99.70	91.96
6000	100.00	90.71
6100	99.17	88.48
6200	98.20	86.20
6300	97.49	84.22
6400	96.61	82.16
6500	95.64	80.08
6600	94.43	77.87
6700	92.90	75.46
6800	91.55	73.27
6900	90.13	71.09
7000	88.70	68.96
7100	87.05	66.72
7200	85.40	64.55
7300	83.64	62.35
7400	81.87	60.21
7500	80.15	58.16
