rpm	power	torque
1000	7.48	48.05
1100	8.58	50.11
1200	9.68	51.83
1300	10.78	53.27
1400	11.78	54.03
1500	12.88	55.15
1600	14.20	57.01
1700	15.52	58.65
1800	16.85	60.11
1900	18.17	61.41
2000	19.49	62.59
2100	20.92	63.99
2200	22.46	65.58
2300	23.92	66.79
2400	25.44	68.07
2500	27.00	69.38
2600	28.85	71.27
2700	30.72	73.08
2800	32.51	74.58
2900	34.36	76.09
3000	36.26	77.63
3100	38.24	79.24
3200	40.19	80.67
3300	42.06	81.87
3400	43.98	83.07
3500	45.96	84.34
3600	48.16	85.93
3700	50.37	87.43
3800	52.57	88.86
3900	54.77	90.21
4000	56.98	91.49
4100	58.96	92.37
4200	61.11	93.45
4300	63.15	94.32
4400	65.13	95.08
4500	67.12	95.79
4600	69.10	96.48
4700	71.02	97.05
4800	72.89	97.54
4900	74.83	98.09
5000	76.81	98.67
5100	78.58	98.96
5200	80.34	99.23
5300	82.10	99.50
5400	83.87	99.75
5500	85.63	100.00
5600	87.17	99.98
5700	88.64	99.88
5800	90.21	99.90
5900	91.72	99.85
6000	93.26	99.84
6100	94.59	99.59
6200	95.91	99.36
6300	97.32	99.22
6400	98.66	99.01
6500	100.00	98.81
6600	99.89	97.21
6700	99.67	95.55
6800	99.45	93.94
6900	99.12	92.27
7000	98.90	90.75
7100	95.94	86.79
7200	92.53	82.55
7300	89.12	78.41
7400	85.81	74.48
7500	82.51	70.66
