rpm	power	torque
1000	10.03	60.77
1100	11.47	63.15
1200	13.01	65.66
1300	14.35	66.83
1400	15.89	68.72
1500	17.33	69.96
1600	18.99	71.86
1700	20.75	73.93
1800	22.30	75.03
1900	24.07	76.72
2000	25.71	77.85
2100	27.59	79.55
2200	29.37	80.85
2300	31.34	82.51
2400	33.13	83.59
2500	34.79	84.26
2600	36.89	85.91
2700	39.09	87.68
2800	41.08	88.85
2900	43.18	90.17
3000	45.17	91.18
3100	47.38	92.55
3200	49.48	93.63
3300	51.69	94.85
3400	53.78	95.79
3500	55.99	96.88
3600	57.94	97.46
3700	60.03	98.26
3800	62.02	98.84
3900	64.01	99.39
4000	66.05	100.00
4100	67.37	99.51
4200	68.86	99.29
4300	70.25	98.93
4400	71.68	98.65
4500	73.11	98.39
4600	74.45	98.01
4700	75.87	97.75
4800	77.32	97.55
4900	78.69	97.25
5000	80.17	97.10
5100	81.60	96.89
5200	83.15	96.83
5300	84.61	96.68
5400	85.97	96.41
5500	87.63	96.49
5600	88.88	96.11
5700	90.20	95.83
5800	91.61	95.65
5900	93.02	95.47
6000	94.34	95.22
6100	95.45	94.76
6200	96.55	94.31
6300	97.70	93.91
6400	98.80	93.49
6500	100.00	93.17
6600	99.28	91.09
6700	98.36	88.90
6800	97.48	86.81
6900	96.40	84.60
7000	95.51	82.63
7100	94.18	80.33
7200	92.52	77.82
7300	90.98	75.47
7400	89.43	73.19
7500	87.78	70.87
